"Blooket
Import Template",,,,,,,
17,"[Score 590-629] Simplify sqrt(72a^5b^2), assuming a >= 0 and b >= 0.",6a^2b sqrt(2a),6ab sqrt(2a^3),36a^2b sqrt(2a),6a^2b sqrt(2),30,1
18,"[Score 590-629] Simplify cubert(54x^7), assuming x is real.",3x^2 cubert(2x),3x cubert(2x^4),9x^2 cubert(2x),3x^3 cubert(2),30,1
19,[Score 590-629] Multiply sqrt(12) * sqrt(27).,18,sqrt(39),6sqrt(9),9sqrt(2),30,1
20,[Score 590-629] Simplify sqrt(45/80).,3/4,9/16,sqrt(9/16),3sqrt(5)/4sqrt(5),30,1
21,[Score 590-629] Simplify 4sqrt(18) - 2sqrt(50) + sqrt(8).,4sqrt(2),8sqrt(2),6sqrt(2),12sqrt(2),30,1
22,[Score 590-629] Simplify 3sqrt(2)(sqrt(8) + 5sqrt(2)).,42,6sqrt(16) + 15sqrt(4),12 + 30sqrt(2),6 + 15sqrt(2),30,1
23,[Score 590-629] Rationalize and simplify 5/(sqrt(3) - 1).,5(sqrt(3) + 1)/2,5(sqrt(3) - 1)/2,(sqrt(3) + 1)/5,5sqrt(3) - 5,30,1
24,[Score 590-629] What are the domain and range of f(x) = sqrt(x - 4) + 2?,Domain: x >= 4; Range: y >= 2,Domain: x >= 2; Range: y >= 4,Domain: x <= 4; Range: y >= 2,Domain: all real numbers; Range: y >= 2,30,1
25,[Score 590-629] Which statement describes g(x) = -sqrt(x + 3) + 1?,"Starts at (-3, 1) and decreases to the right","Starts at (3, 1) and increases to the right","Starts at (-3, -1) and increases to the right","Starts at (1, -3) and decreases to the right",30,1
26,[Score 590-629] Solve sqrt(2x + 3) = x.,x = 3,x = -1,"x = -1, 3","x = 0, 3",30,1
27,[Score 590-629] Simplify (x^2 - 9)/(x^2 + 5x + 6).,(x - 3)/(x + 2),(x + 3)/(x + 2),(x - 3)/(x + 3),(x + 2)/(x - 3),30,1
28,[Score 590-629] Simplify ((3x)/(x - 4)) * ((x - 4)/9).,x/3,3x/9x,3x,x - 4,30,1
29,[Score 590-629] Simplify 2/(x + 1) + 3/(x + 1).,5/(x + 1),6/(x + 1),5/(2x + 2),1/(x + 1),30,1
30,"[Score 590-629] For f(x) = (x + 2)/(x - 5), what is the vertical asymptote?",x = 5,x = -2,y = 5,y = 1,30,1
31,[Score 590-629] Solve 3/x = 6/10.,x = 5,x = 2,x = 10,x = 20,30,1
32,"[Score 590-629] If f(x) = 2x + 3 and g(x) = x - 5, what is (f + g)(x)?",3x - 2,x + 8,2x^2 - 15,3x + 8,30,1
33,"[Score 590-629] If f(x) = x + 4 and g(x) = x - 2, what is (fg)(x)?",x^2 + 2x - 8,x^2 - 8,2x + 2,x^2 - 2x + 8,30,1
34,"[Score 590-629] If f(x) = x^2 - 9 and g(x) = x - 3, what is (f/g)(x) for x != 3?",x + 3,x - 3,x^2 + 3,1/(x + 3),30,1
35,"[Score 590-629] A table for f has pairs (1, 4), (2, 7), (3, 10), (4, 13). What is f^-1(10)?",3,10,4,13,30,1
36,"[Score 590-629] A graph of f passes through (2, 8), (5, 1), and (7, 4). What is f^-1(1)?",5,1,2,8,30,1
37,[Score 590-629] Find the inverse of f(x) = 3x - 6.,f^-1(x) = (x + 6)/3,f^-1(x) = 3x + 6,f^-1(x) = (x - 6)/3,f^-1(x) = x/3 - 6,30,1
38,[Score 590-629] Rewrite (1/3)^4 = 1/81 in logarithmic form.,log_(1/3)(1/81) = 4,log_4(1/81) = 1/3,log_(1/81)(1/3) = 4,log_(1/3)(4) = 1/81,30,1
39,[Score 590-629] Evaluate log_2(32).,5,4,16,64,30,1
40,[Score 590-629] Which property is shown by log_b(MN) = log_b(M) + log_b(N)?,Product property,Quotient property,Power property,Change of base property,30,1
41,[Score 590-629] Use the product property to expand log_5(3x).,log_5(3) + log_5(x),log_5(3) - log_5(x),3log_5(x),log_5(3 + x),30,1
42,[Score 590-629] Use the quotient property to expand log_4(x/7).,log_4(x) - log_4(7),log_4(x) + log_4(7),log_4(7) - log_4(x),7log_4(x),30,1
43,[Score 590-629] Use the power property to expand log_6(x^3).,3log_6(x),log_6(3x),log_6(x) + 3,log_6(x)/3,30,1
44,[Score 590-629] Expand log_2((5x^3)/y).,log_2(5) + 3log_2(x) - log_2(y),log_2(5) + log_2(x) - 3log_2(y),log_2(5) - 3log_2(x) + log_2(y),3log_2(5x) - log_2(y),30,1
45,"[Score 590-629] Given log_10(2) = 0.301 and log_10(5) = 0.699, evaluate log_10(20).",1.301,0.398,0.210,2.000,30,1
46,"[Score 590-629] If f(x) = 4(2^x), what is f(3)?",32,24,16,64,30,1
47,[Score 590-629] A bacteria colony starts with 200 and doubles every hour. Which function gives N after t hours?,N(t) = 200(2^t),N(t) = 2(200^t),N(t) = 200t + 2,N(t) = 200(0.5^t),30,1
48,[Score 590-629] Which point is on the graph of y = 3^x?,"(2, 9)","(2, 6)","(3, 9)","(0, 0)",30,1
49,[Score 590-629] A graph has y-intercept 5 and doubles each time x increases by 1. Which function matches?,y = 5(2^x),y = 2(5^x),y = 5x + 2,y = 5(0.5^x),30,1
50,[Score 590-629] Solve 4^(x + 1) = 64.,x = 2,x = 3,x = 1,x = 4,30,1
51,[Score 590-629] Solve 3^x = 20. Which expression gives x?,x = log(20)/log(3),x = log(3)/log(20),x = log(17),x = 20log(3),30,1
52,[Score 590-629] Solve e^(2x) = 15. Which expression gives x?,x = ln(15)/2,x = 2ln(15),x = ln(2)/15,x = ln(15 - 2),30,1
53,[Score 590-629] A car worth $18000 loses 12% yearly. Which expression gives value after 3 years?,18000(0.88)^3,18000(1.12)^3,18000 - 0.12(3),18000(0.12)^3,30,1
54,[Score 590-629] Which expression gives $1000 at 6% compounded quarterly for 2 years?,1000(1 + 0.06/4)^8,1000(1 + 0.06)^2,1000(1 + 4/0.06)^2,1000(1 + 0.06/2)^4,30,1
55,[Score 590-629] Which expression gives $2500 at 5% compounded continuously for 4 years?,2500e^(0.05*4),2500(1.05)^4,2500e^(5*4),2500(1 + 0.05/4)^4,30,1
56,[Score 590-629] What is the domain of f(x) = log_3(x - 4)?,x > 4,x < 4,x >= 4,all real numbers,30,1
57,[Score 590-629] Which statement is true about y = log_2(x)?,"It has vertical asymptote x = 0 and passes through (1, 0).","It has horizontal asymptote y = 0 and passes through (0, 1).","It has vertical asymptote x = 1 and passes through (0, 0).","It has no asymptote and passes through (2, 0).",30,1
58,[Score 590-629] Solve log_4(x) = 3.,x = 64,x = 12,x = 7,x = 81,30,1
59,[Score 590-629] Solve log_2(x - 1) + log_2(x + 3) = 3.,x = 3,x = -5,x = 1,x = 5,30,1
60,"[Score 590-629] For a_n = 3n^2 - 2n, what is a_5?",65,55,35,73,30,1
61,[Score 590-629] A sequence has a_1 = 4 and a_n = 2a_(n-1) - 3. What is a_4?,11,8,13,5,30,1
62,[Score 590-629] Which description best classifies a_n = 7(3)^(n-1)?,Geometric sequence with common ratio 3,Arithmetic sequence with common difference 3,Geometric sequence with common ratio 7,Arithmetic sequence with common difference 7,30,1
63,[Score 590-629] An arithmetic sequence has first term 8 and common difference -3. Which formula gives a_n?,a_n = 8 - 3(n - 1),a_n = 8(-3)^(n - 1),a_n = -3 + 8(n - 1),a_n = 8 + 3(n - 1),30,1
64,[Score 590-629] A geometric sequence has first term 6 and common ratio 2. Which formula gives a_n?,a_n = 6(2)^(n - 1),a_n = 2(6)^(n - 1),a_n = 6 + 2(n - 1),a_n = 6(2)^n,30,1
65,"[Score 590-629] The sequence is 10, 7, 4, 1, ... Which recursive formula represents it?",a_1 = 10; a_n = a_(n-1) - 3,a_1 = 10; a_n = a_(n-1) + 3,a_1 = 7; a_n = a_(n-1) - 3,a_1 = 10; a_n = 3a_(n-1),30,1
66,[Score 590-629] A sequence has a_1 = 5 and a_n = a_(n-1) + 4. Which explicit formula represents it?,a_n = 5 + 4(n - 1),a_n = 4 + 5(n - 1),a_n = 5(4)^(n - 1),a_n = 5 + 4n,30,1
67,[Score 590-629] The explicit formula is a_n = 12 - 5(n - 1). Which recursive formula represents it?,a_1 = 12; a_n = a_(n-1) - 5,a_1 = 12; a_n = a_(n-1) + 5,a_1 = 7; a_n = a_(n-1) - 5,a_1 = 12; a_n = -5a_(n-1),30,1
68,[Score 590-629] Which series is geometric?,3 + 6 + 12 + 24,4 + 9 + 14 + 19,20 + 17 + 14 + 11,2 + 5 + 9 + 14,30,1
69,[Score 590-629] What sum is represented by sum from k = 1 to 4 of (2k + 1)?,3 + 5 + 7 + 9,1 + 3 + 5 + 7,2 + 4 + 6 + 8,5 + 7 + 9 + 11,30,1
70,[Score 590-629] Find the sum of the arithmetic series 5 + 9 + 13 + ... + 41.,230,207,184,250,30,1
71,[Score 590-629] Find the sum of the finite geometric series 2 + 6 + 18 + 54 + 162.,242,240,486,180,30,1
72,[Score 590-629] Convert 5pi/6 radians to degrees.,150 degrees,120 degrees,210 degrees,300 degrees,30,1
73,[Score 590-629] An angle in standard position measures 210 degrees. Which statement describes its terminal side?,It is 30 degrees past the negative x-axis.,It is 30 degrees above the positive x-axis.,It is 60 degrees before the negative x-axis.,It lies on the positive y-axis.,30,1
74,[Score 590-629] In which quadrant does an angle of 315 degrees have its terminal side?,Quadrant IV,Quadrant I,Quadrant II,Quadrant III,30,1
75,[Score 590-629] Which angle is coterminal with 40 degrees?,400 degrees,320 degrees,-400 degrees,140 degrees,30,1
76,[Score 590-629] What is the reference angle for 240 degrees?,60 degrees,30 degrees,120 degrees,240 degrees,30,1
77,"[Score 590-629] On the unit circle, the point at angle pi is (-1, 0). What is cos(pi)?",-1,0,1,undefined,30,1
78,[Score 590-629] What is sin(30 degrees)?,1/2,sqrt(3)/2,sqrt(2)/2,1,30,1
79,[Score 590-629] Find cos(120 degrees).,-1/2,1/2,-sqrt(3)/2,sqrt(3)/2,30,1
80,[Score 590-629] Which expression is equal to sin(35 degrees)?,cos(55 degrees),cos(35 degrees),sin(55 degrees),tan(55 degrees),30,1
81,[Score 590-629] Which expression has the same value as sin(30 degrees)?,sin(390 degrees),sin(210 degrees),cos(210 degrees),tan(30 degrees),30,1
82,"[Score 590-629] If sin(theta) = 3/5 and theta is in Quadrant I, what is cos(theta)?",4/5,-4/5,3/4,5/4,30,1
83,"[Score 590-629] If cos(theta) = -12/13 and theta is in Quadrant II, what is tan(theta)?",-5/12,5/12,-12/5,5/13,30,1
84,"[Score 590-629] For y = 3sin(2x), what are the amplitude and period?","Amplitude 3, period pi","Amplitude 2, period 3","Amplitude 3, period 2pi","Amplitude 6, period pi",30,1
85,"[Score 590-629] A sine graph has midline y = 1, amplitude 4, period 2pi, and starts increasing at x = 0.",y = 4sin(x) + 1,y = sin(4x) + 1,y = 4cos(x) + 1,y = 4sin(x - 1),30,1
86,"[Score 590-629] Write a sine function with amplitude 2, period 4pi, and midline y = -3.",y = 2sin(x/2) - 3,y = 2sin(2x) - 3,y = 4sin(2x) - 3,y = 2sin(x) + 3,30,1
87,[Score 590-629] Which key points are on one period of y = sin(x) from x = 0 to x = 2pi?,"(0,0), (pi/2,1), (pi,0), (3pi/2,-1), (2pi,0)","(0,1), (pi/2,0), (pi,-1), (3pi/2,0), (2pi,1)","(0,0), (pi/2,-1), (pi,0), (3pi/2,1), (2pi,0)","(0,-1), (pi/2,0), (pi,1), (3pi/2,0), (2pi,-1)",30,1
88,[Score 590-629] The graph of y = sin(x) is translated up 3 units. Which equation represents it?,y = sin(x) + 3,y = sin(x + 3),y = 3sin(x),y = sin(x) - 3,30,1
89,"[Score 590-629] For y = -2cos(4x) + 5, what are the amplitude, period, and midline?","Amplitude 2, period pi/2, midline y = 5","Amplitude -2, period pi/2, midline y = 5","Amplitude 2, period 4pi, midline y = 5","Amplitude 2, period pi/2, midline y = -5",30,1
90,"[Score 590-629] A cosine graph has maximum 7, minimum 1, period 2pi, and a maximum at x = 0.",y = 3cos(x) + 4,y = 4cos(x) + 3,y = 3sin(x) + 4,y = 6cos(x) + 1,30,1
91,"[Score 590-629] Write a cosine function with amplitude 5, period pi, and midline y = 2.",y = 5cos(2x) + 2,y = 5cos(x/2) + 2,y = 2cos(5x) + 2,y = 5cos(x) - 2,30,1
92,[Score 590-629] Which key points are on one period of y = cos(x) from x = 0 to x = 2pi?,"(0,1), (pi/2,0), (pi,-1), (3pi/2,0), (2pi,1)","(0,0), (pi/2,1), (pi,0), (3pi/2,-1), (2pi,0)","(0,-1), (pi/2,0), (pi,1), (3pi/2,0), (2pi,-1)","(0,1), (pi/2,1), (pi,0), (3pi/2,-1), (2pi,-1)",30,1
93,[Score 590-629] The graph of y = cos(x) is shifted right pi/3 units. Which equation represents it?,y = cos(x - pi/3),y = cos(x + pi/3),y = cos(x) - pi/3,y = cos(x) + pi/3,30,1
94,"[Score 590-629] For y = 4sin(3x) - 6, what are the amplitude, period, and midline?","Amplitude 4, period 2pi/3, midline y = -6","Amplitude 3, period 2pi/3, midline y = -6","Amplitude 4, period 3pi, midline y = -6","Amplitude 4, period 2pi/3, midline y = 6",30,1
95,"[Score 590-629] A sinusoidal graph has maximum 10, minimum 2, period 2pi, and starts at a maximum.",y = 4cos(x) + 6,y = 4sin(x) + 6,y = 6cos(x) + 4,y = 8cos(x) + 2,30,1
96,"[Score 590-629] Which equation has amplitude 3, period 6pi, and midline y = 1?",y = 3cos(x/3) + 1,y = 3sin(3x) + 1,y = cos(3x) + 3,y = 6sin(x/3) + 1,30,1
97,[Score 590-629] Which statement correctly compares y = sin(x) and y = cos(x)?,"Sine starts at the midline, while cosine starts at a maximum.",Both graphs start at a maximum.,"Sine starts at a maximum, while cosine starts at the midline.",Both graphs have period pi.,30,1
98,[Score 590-629] Which equation shifts y = cos(x) down 2 units and left pi/4 units?,y = cos(x + pi/4) - 2,y = cos(x - pi/4) - 2,y = cos(x + pi/4) + 2,y = cos(x) - pi/4 - 2,30,1
99,[Score 630-800] Simplify (3 + 4i) + (-2 + 5i) - (7 - 3i).,-6 + 12i,-6 + 6i,8 + 6i,-2 + 12i,30,1
100,[Score 630-800] What is the complex conjugate of -5 + 9i?,-5 - 9i,5 + 9i,5 - 9i,-9 + 5i,30,1
101,[Score 630-800] Simplify (2 + 3i)(4 - i).,11 + 10i,5 + 10i,8 + 10i,11 + 14i,30,1
102,[Score 630-800] Simplify ((1 + 2i)(3 - i)) + (6 + 4i)/(1 + i).,10 + 4i,8 + 6i,10 + 8i,4 + 10i,30,1
103,[Score 630-800] What is the absolute value of -8 + 15i?,17,23,7,sqrt(289)i,30,1
104,[Score 630-800] Simplify i^47.,-i,i,1,-1,30,1
105,"[Score 630-800] In the complex plane, what point represents 6 - 2i?","(6, -2)","(-2, 6)","(6, 2)","(-6, 2)",30,1
106,"[Score 630-800] Which complex number is represented by the point (-4, 7) in the complex plane?",-4 + 7i,7 - 4i,4 - 7i,-7 + 4i,30,1
107,"[Score 630-800] In the complex plane, adding (2 - 5i) and (-6 + 3i) gives which point?","(-4, -2)","(8, -2)","(-4, -8)","(-8, 4)",30,1
108,"[Score 630-800] In the complex plane, what point represents (5 + i) - (-2 + 6i)?","(7, -5)","(3, 7)","(7, 5)","(-7, -5)",30,1
109,"[Score 630-800] The point (3, -8) represents 3 - 8i. Which point represents its conjugate?","(3, 8)","(-3, -8)","(-3, 8)","(8, 3)",30,1
110,[Score 630-800] What is the distance from the origin to the point representing -12 - 5i?,13,17,7,sqrt(119),30,1
111,"[Score 630-800] Find the magnitude of the vector <9, -12>.",15,21,3,sqrt(117),30,1
112,"[Score 630-800] A vector starts at A(-3, 4) and ends at B(5, -2). What is its component form?","<8, -6>","<-8, 6>","<2, 2>","<-2, -2>",30,1
113,"[Score 630-800] What is the direction angle of <0, -7>, measured counterclockwise from positive x-axis?",270 degrees,90 degrees,180 degrees,0 degrees,30,1
114,[Score 630-800] A vector has magnitude 10 and direction angle 30 degrees. Which component form is correct?,"<5sqrt(3), 5>","<5, 5sqrt(3)>","<10, 30>","<-5sqrt(3), 5>",30,1
115,"[Score 630-800] Using the triangle method, u = <3, 1> followed by v = <-2, 4>. What is the resultant?","<1, 5>","<5, -3>","<-1, 3>","<6, 4>",30,1
116,"[Score 630-800] If a = <-4, 6> and b = <9, -2>, what is a + b?","<5, 4>","<-13, 8>","<13, -8>","<5, 8>",30,1
117,"[Score 630-800] If p = <7, -3> and q = <-2, 5>, what is p - q?","<9, -8>","<5, 2>","<-9, 8>","<9, 2>",30,1
118,"[Score 630-800] Let u = <6, 0> and v = <0, 8>. What are magnitude and direction of u + v?",10 and about 53.1 degrees,14 and about 53.1 degrees,10 and about 36.9 degrees,2 and about 53.1 degrees,30,1
119,"[Score 630-800] What is -3<4, -5>?","<-12, 15>","<12, -15>","<-7, 2>","<1, -8>",30,1
120,"[Score 630-800] Vector w = <3, 4>. What is the magnitude of 5w?",25,5,20,50,30,1
121,[Score 630-800] Vector v has direction angle 40 degrees. What is the direction angle of -2v?,220 degrees,80 degrees,140 degrees,320 degrees,30,1
122,[Score 630-800] A matrix has 4 rows and 3 columns. What are its dimensions?,4 x 3,3 x 4,7 x 1,12 x 1,30,1
123,[Score 630-800] Matrix A is 2 x 3 and B is 3 x 4. What are the dimensions of AB?,2 x 4,3 x 3,4 x 2,Not defined,30,1
124,"[Score 630-800] Let A = [[2, -1], [5, 0]] and B = [[4, 3], [-2, 7]]. What is A + B?","[[6, 2], [3, 7]]","[[2, -4], [7, -7]]","[[8, -3], [-10, 0]]","[[6, -4], [7, 7]]",30,1
125,"[Score 630-800] Let A = [[-2, 6], [1, 4]]. What is 3A?","[[-6, 18], [3, 12]]","[[1, 9], [4, 7]]","[[-2, 18], [3, 4]]","[[-5, 3], [-2, 1]]",30,1
126,"[Score 630-800] Let A = [[1, 2], [-3, 4]] and B = [[0, 5], [2, -1]]. What is 2A - B?","[[2, -1], [-8, 9]]","[[2, 9], [-4, 7]]","[[1, -3], [-5, 5]]","[[2, -1], [-4, 7]]",30,1
127,"[Score 630-800] Let A = [[1, 3], [2, -1]] and B = [[4, 0], [5, 2]]. What is AB?","[[19, 6], [3, -2]]","[[4, 6], [10, -2]]","[[9, 6], [3, 2]]","[[19, 2], [13, -2]]",30,1
128,"[Score 630-800] Let A = [[2, 1], [0, -3]] and I be the 2 x 2 identity. What is A + 4I?","[[6, 1], [0, 1]]","[[6, 5], [4, 1]]","[[8, 4], [0, -12]]","[[2, 1], [0, 1]]",30,1
129,"[Score 630-800] Which statement is always true for square matrices A, B, and C of the same size?",A(B + C) = AB + AC,AB = BA,A + B = AB,(A + B)^2 = A^2 + B^2,30,1
130,"[Score 630-800] Apply [[0, -1], [1, 0]] to the point (3, -2). What is the image point?","(2, 3)","(-2, -3)","(-3, 2)","(3, 2)",30,1
131,"[Score 630-800] What is the determinant of [[7, 2], [3, 5]]?",29,41,23,-29,30,1
132,"[Score 630-800] Is the matrix [[4, 6], [2, 3]] invertible?","No, because its determinant is 0","Yes, because its determinant is 0","No, because it is 2 x 2","Yes, because all entries are positive",30,1
133,"[Score 630-800] What is the inverse of [[2, 1], [5, 3]]?","[[3, -1], [-5, 2]]","[[2, -1], [-5, 3]]","[[3, 1], [5, 2]]","[[-3, 1], [5, -2]]",30,1
134,"[Score 630-800] Let A = [[1, 0, 0], [0, 2, 0], [0, 0, 5]]. What is A^-1?","[[1, 0, 0], [0, 1/2, 0], [0, 0, 1/5]]","[[1, 0, 0], [0, 2, 0], [0, 0, 5]]","[[0, 0, 1], [0, 1/2, 0], [1/5, 0, 0]]","[[1, 0, 0], [0, -2, 0], [0, 0, -5]]",30,1
135,"[Score 630-800] Let A = [[1, 2], [3, 7]] and B = [[7, -2], [-3, 1]]. How can you identify B = A^-1?",AB = I and BA = I,A + B = I,AB = 0,A and B have the same determinant,30,1
136,"[Score 630-800] Solve AX = B if A^-1 = [[1, -1], [0, 2]] and B = [[3], [4]].","[[-1], [8]]","[[7], [8]]","[[3], [8]]","[[-1], [4]]",30,1
137,"[Score 630-800] A row of Pascal's triangle is 1, 6, 15, 20, 15, 6, 1. What is the sum?",32,63,64,128,30,3
138,"[Score 630-800] Using Pascal's triangle, what is the coefficient of x^2 in (x + 2)^4?",16,24,32,48,30,2
139,[Score 630-800] What is the coefficient of x^3 in the expansion of (2x - 1)^5?,-80,-40,40,80,30,4
140,"[Score 630-800] In (3x + 2y)^6, what is the coefficient of x^4y^2?",1215,1620,2160,3240,30,4
141,[Score 630-800] Let f(x) = x^2 - 3x and g(x) = 2x + 5. What is f(g(2))?,18,36,54,72,30,3
142,[Score 630-800] Let f(x) = x^2 + 4 and g(x) = 3x - 1. Which equation represents (f o g)(x)?,9x^2 - 6x + 5,9x^2 - 6x + 3,3x^2 + 11,9x^2 + 6x + 5,30,1
143,[Score 630-800] Which pair of functions are inverses of each other?,f(x) = 4x - 7 and g(x) = (x + 7)/4,f(x) = 4x - 7 and g(x) = (x - 7)/4,f(x) = 4x + 7 and g(x) = 4x - 7,f(x) = x^2 and g(x) = sqrt(x - 7),30,1
144,[Score 630-800] Which geometric series is convergent?,5 + 10 + 20 + 40 + ...,12 - 18 + 27 - 40.5 + ...,8 + 4 + 2 + 1 + ...,3 - 6 + 12 - 24 + ...,30,3
145,[Score 630-800] What is the sum of 18 + 12 + 8 + 16/3 + ...?,30,36,42,54,30,4
146,"[Score 630-800] If sin(theta) = 3/5 and theta is in Quadrant II, what is tan(theta)?",3/4,-3/4,4/3,-4/3,30,2
147,[Score 630-800] What is the exact value of sin(75 degrees)?,(sqrt(6) + sqrt(2))/4,(sqrt(6) - sqrt(2))/4,(sqrt(3) + 1)/2,sqrt(6)/4,30,1
148,[Score 630-800] What is the exact value of arccos(-1/2)?,pi/6,2pi/3,4pi/3,5pi/3,30,2
149,"[Score 630-800] On 0 <= x < 2pi, which values solve 2sin(x) - 1 = 0?",pi/6 and 5pi/6,pi/3 and 2pi/3,7pi/6 and 11pi/6,pi/6 only,30,1
